,boxon2_0.csv,boxon2_1.csv,boxon2_2.csv
210,2.134,2.108,2.082
211,2.146,2.138,2.154
212,2.158,2.168,2.1505
213,2.17,2.136,2.147
214,2.1319999999999997,2.104,2.1229999999999998
215,2.094,2.110666666666667,2.099
216,2.1055,2.1173333333333333,2.075
217,2.117,2.124,2.0665
218,2.091,2.098,2.058
219,2.065,2.072,2.0454999999999997
220,2.039,2.0915,2.033
221,2.0860000000000003,2.111,2.0723333333333334
222,2.133,2.124,2.1116666666666664
223,2.145,2.137,2.151
224,2.157,2.15,2.154
225,2.1726666666666667,2.182,2.157
226,2.1883333333333335,2.214,2.1883333333333335
227,2.204,2.259333333333333,2.2196666666666665
228,2.2550000000000003,2.304666666666667,2.251
229,2.306,2.35,2.315
230,2.357,2.379,2.379
231,2.383,2.408,2.3903333333333334
232,2.409,2.4176666666666664,2.4016666666666664
233,2.421333333333333,2.4273333333333333,2.413
234,2.433666666666667,2.437,2.4335
235,2.446,2.4615,2.454
236,2.4705000000000004,2.486,2.4650000000000003
237,2.495,2.488,2.476
238,2.4806666666666666,2.49,2.487
239,2.4663333333333335,2.492,2.4785000000000004
240,2.452,2.4615,2.47
241,2.291,2.431,2.3960000000000004
242,2.13,2.336666666666667,2.322
243,2.1656666666666666,2.2423333333333333,2.248
244,2.2013333333333334,2.148,2.1590000000000003
245,2.237,2.1863333333333332,2.0700000000000003
246,2.2746666666666666,2.224666666666667,1.981
247,2.3123333333333336,2.263,2.187
248,2.35,2.3649999999999998,2.393
249,2.4525,2.467,2.4546666666666663
250,2.555,2.569,2.5163333333333333
251,2.573,2.5860000000000003,2.578
252,2.591,2.603,2.5895
253,2.609,2.611,2.601
254,2.6205,2.619,2.609
255,2.632,2.6270000000000002,2.617
256,2.6376666666666666,2.635,2.625
257,2.6433333333333335,2.643,2.628
258,2.649,2.6375,2.631
259,2.6390000000000002,2.632,2.625
260,2.629,2.6353333333333335,2.6189999999999998
261,2.619,2.6386666666666665,2.613
262,2.621,2.642,2.615
263,2.623,2.619666666666667,2.617
264,2.625,2.5973333333333333,2.619
265,2.610333333333333,2.575,2.601
266,2.595666666666667,2.5700000000000003,2.583
267,2.581,2.5650000000000004,2.565
268,2.5656666666666665,2.56,2.555
269,2.5503333333333336,2.555,2.545
270,2.535,2.5313333333333334,2.535
271,2.51575,2.5076666666666667,2.512
272,2.4965,2.484,2.489
273,2.47725,2.47575,2.466
274,2.458,2.4675000000000002,2.443
275,2.4615,2.45925,2.4485
276,2.465,2.451,2.4539999999999997
277,2.4685,2.457,2.4595
278,2.472,2.463,2.465
279,2.4712,2.4690000000000003,2.46325
280,2.4704,2.475,2.4615
281,2.4696,2.467,2.45975
282,2.4688,2.459,2.458
283,2.468,2.451,2.4586
284,2.4688,2.443,2.4592
285,2.4696,2.435,2.4598
286,2.4704,2.45575,2.4604
287,2.4712,2.4764999999999997,2.461
288,2.472,2.4972499999999997,2.4819999999999998
289,2.4945,2.518,2.503
290,2.517,2.53375,2.524
291,2.5395,2.5495,2.545
292,2.562,2.56525,2.555
293,2.5669999999999997,2.581,2.565
294,2.572,2.5923333333333334,2.575
295,2.577,2.603666666666667,2.5893333333333333
296,2.59225,2.615,2.603666666666667
297,2.6075,2.616,2.618
298,2.62275,2.617,2.6126666666666667
299,2.638,2.6180000000000003,2.607333333333333
300,2.634,2.619,2.602
301,2.63,2.6253333333333333,2.612
302,2.626,2.631666666666667,2.622
303,2.637,2.638,2.632
304,2.648,2.6334999999999997,2.626666666666667
305,2.6413333333333333,2.629,2.6213333333333333
306,2.634666666666667,2.619666666666667,2.616
307,2.628,2.610333333333333,2.6029999999999998
308,2.616,2.601,2.59
309,2.604,2.584,2.58
310,2.592,2.567,2.57
311,2.5685000000000002,2.4210000000000003,2.56
312,2.545,2.275,2.4735
313,2.4166666666666665,2.191,2.387
314,2.2883333333333336,2.107,2.3586666666666667
315,2.16,2.023,2.3303333333333334
316,2.0505,2.115,2.302
317,1.941,2.207,2.337666666666667
318,2.0396666666666667,2.299,2.373333333333333
319,2.1383333333333336,2.3596666666666666,2.409
320,2.237,2.4203333333333332,2.4299999999999997
321,2.323,2.481,2.451
322,2.4090000000000003,2.4844999999999997,2.472
323,2.495,2.488,2.466
324,2.4945000000000004,2.4699999999999998,2.46
325,2.494,2.452,2.445333333333333
326,2.473,2.444,2.4306666666666668
